dataset,setting,roc_auc_mean,pr_auc_mean,f1_mean,delta_roc_auc
Augmented,drop::height,1.0,1.0,0.9954198473282444,1.7094017094043679e-06
Augmented,drop::BMI,1.0,1.0,0.9969465648854963,1.7094017094043679e-06
Augmented,all_features,0.9999982905982906,0.9999844599844601,0.9969465648854963,0.0
Augmented,drop::age,0.9999982905982906,0.9999844599844601,0.9969465648854963,0.0
Augmented,drop::sex,0.9999982905982906,0.9999844599844601,0.9969465648854963,0.0
Augmented,drop::weight,0.9999982905982906,0.9999844599844601,0.9969465648854963,0.0
Augmented,drop::fev1,0.978268376068376,0.8239243936271697,0.6721438297263589,-0.021729914529914574
Cleaned,all_features,1.0,1.0,0.9636363636363635,0.0
Cleaned,drop::sex,1.0,1.0,0.9636363636363635,0.0
Cleaned,drop::height,1.0,1.0,0.9464646464646462,0.0
Cleaned,drop::weight,1.0,1.0,0.9636363636363635,0.0
Cleaned,drop::BMI,1.0,1.0,0.9575757575757575,0.0
Cleaned,drop::age,0.9999777777777777,0.9977777777777778,0.9636363636363635,-2.2222222222256782e-05
Cleaned,drop::fev1,0.9552222222222221,0.3601500469499105,0.09749531404228502,-0.044777777777777916
